title,embedding0,embedding1,embedding2,embedding3,embedding4,embedding5,embedding6,embedding7,embedding8,embedding9
AdventureQuest 3D,0.08305835,-0.20442735,0.132274,0.11463582,0.4129677,-0.007094438,0.3779505,-0.047735147,-0.34386805,0.16572939
Black Squad,-0.13223384,-0.53356594,0.4481319,0.29430404,0.52243245,-0.30161354,0.5378634,-0.37458897,-0.15906748,0.3332693
Bless Online,0.3419909,0.36540875,-0.33888304,-0.21941678,0.083307005,0.4821905,0.06242214,0.4524865,-0.5882534,-0.16845481
Bloons TD Battles,0.12765408,0.019933088,-0.054090023,-0.023442565,0.22979727,0.1829214,0.21663924,0.15865177,-0.38514924,0.04207879
Brawlhalla,-0.17843069,-0.5962537,0.48061368,0.3941143,0.6011869,-0.3780598,0.5994405,-0.44078347,-0.07170454,0.38304994
Business Tour - Board Game with Online Multiplayer,0.14673492,0.023062356,-0.028549513,-0.012392835,0.23827583,0.1958592,0.21387362,0.15240774,-0.36466822,0.016735153
Creativerse,-0.13277803,-0.64075804,0.5229871,0.3500247,0.6096513,-0.38236853,0.64809537,-0.49258044,-0.14668028,0.3847062
Crusaders of the Lost Idols,0.033925075,-0.17951293,0.088066265,0.097140886,0.40947774,-0.018582208,0.41654778,-0.046079565,-0.39015695,0.18990922
Cuisine Royale,0.23041023,0.13668776,-0.13841332,-0.08853193,0.147586,0.27023762,0.15003514,0.22008386,-0.4564229,-0.019657003
DCS World Steam Edition,-0.19046953,-0.54844934,0.4154501,0.3103798,0.533297,-0.30194846,0.59513134,-0.41217318,-0.21894799,0.36626795
Dota 2,0.08582267,-0.061616782,0.040063113,0.010853398,0.28777105,0.08935046,0.27415466,0.06542084,-0.3693164,0.08864637
Dreadnought,-0.07886686,-0.41403326,0.3065239,0.26847312,0.4563063,-0.19045651,0.5090408,-0.28214046,-0.2563285,0.30043206
Elsword,0.01117091,-0.3335464,0.26549518,0.18576579,0.46284837,-0.10456609,0.42558485,-0.20282681,-0.25277957,0.23534943
Eternal Card Game,0.01803547,-0.24176477,0.1653895,0.13123497,0.45829824,-0.06346309,0.4382825,-0.15322317,-0.34295198,0.18790446
EverQuest II,-0.16009228,-0.64440596,0.56264883,0.34756693,0.6278849,-0.43925014,0.60331285,-0.47154233,-0.13624936,0.42855808
Fallout Shelter,0.048964493,-0.23083043,0.19296047,0.10560537,0.3760051,-0.032200627,0.39556253,-0.07009305,-0.3421111,0.19039316
Fractured Space,-0.24111666,-0.69352657,0.57395595,0.39898273,0.6176715,-0.46030736,0.6691409,-0.5592427,-0.1464452,0.44263354
Freestyle 2: Street Basketball,0.034799673,-0.20075691,0.10625911,0.12117215,0.42899874,0.010391819,0.37732285,-0.048999276,-0.2666284,0.17807539
Heroes & Generals,0.34795398,0.48582244,-0.42823267,-0.2560469,0.029944407,0.5736537,0.0009507193,0.56210625,-0.6455697,-0.22524089
Infestation: The New Z,0.31446612,0.31026164,-0.27684572,-0.1856239,0.09350252,0.4386873,0.057877075,0.39176252,-0.53944874,-0.14190596
Neverwinter,0.075314365,-0.20017816,0.15554276,0.10652393,0.373206,-0.017647022,0.3929696,-0.06359599,-0.31205276,0.15259324
Path of Exile,-0.22931625,-0.6690088,0.56734693,0.36789247,0.6379265,-0.43665174,0.6469346,-0.53088576,-0.15065433,0.4486523
PlanetSide 2,-0.19247851,-0.65754575,0.5650767,0.39257112,0.58054304,-0.41754904,0.60312027,-0.5119615,-0.15941343,0.39237162
RaceRoom Racing Experience,0.16122746,-0.03219969,-0.023336075,0.026253868,0.24500163,0.13551171,0.24612406,0.080648005,-0.36840427,0.076384954
Realm Grinder,-0.16128232,-0.620466,0.49853605,0.32238254,0.57341,-0.3557567,0.64472497,-0.5040054,-0.20940755,0.37952623
Realm Royale,0.07489227,-0.19019093,0.16102146,0.10764314,0.404728,-0.0028922665,0.39972562,-0.08745648,-0.30416167,0.1267037
Realm of the Mad God,-0.046319287,-0.42755347,0.371208,0.21220486,0.4921307,-0.19898777,0.52651954,-0.29778808,-0.20545661,0.2772685
Ring of Elysium,-0.11661557,-0.57822716,0.46002412,0.34230903,0.5614132,-0.3521436,0.5705362,-0.41579178,-0.15137872,0.35922015
Robocraft,0.4387017,0.607608,-0.5108055,-0.34680524,-0.022192791,0.67412996,-0.108522125,0.66197836,-0.6811774,-0.35054284
SMITE®,-0.08452434,-0.3115162,0.28328776,0.18328466,0.473478,-0.12389612,0.39113224,-0.20009665,-0.21263102,0.18854208
Sakura Clicker,-0.1866645,-0.5148714,0.37375215,0.274271,0.5532245,-0.29152492,0.48702168,-0.33422586,-0.12502035,0.3543627
School of Dragons,0.09209198,-0.065876484,0.0074619222,0.021103984,0.37971956,0.106887616,0.33542332,0.036251273,-0.37926102,0.09751474
Shop Heroes,-0.12285123,-0.63047063,0.63368,0.34617582,0.5663438,-0.3774167,0.6081577,-0.47168306,-0.14777508,0.40398484
Spooky's Jump Scare Mansion,-0.2246282,-0.6403805,0.5555717,0.33727413,0.6062126,-0.41557708,0.60350955,-0.4866386,-0.097336754,0.43792164
Tactical Monsters Rumble Arena,-0.15105402,-0.5716593,0.410775,0.37417746,0.5706419,-0.33161578,0.6458707,-0.46911848,-0.13100548,0.35915485
Team Fortress 2,-0.07120858,-0.4306548,0.38317996,0.23646295,0.48760378,-0.21622232,0.5070103,-0.2919509,-0.14874922,0.29246324
The Elder Scrolls®: Legends™,0.01989101,-0.24325766,0.19302557,0.12640956,0.41599908,-0.06657683,0.39508396,-0.12111118,-0.31407347,0.16598505
Trove,0.10379849,-0.017952222,-0.015262887,0.033447895,0.30340475,0.14809397,0.26217103,0.13609713,-0.39370117,0.05248913
WARMODE,0.09200154,-0.074275516,0.064877674,0.04234065,0.23466006,0.12140632,0.29839444,0.075513,-0.35674828,0.0506755
War Thunder,0.35348234,0.41497898,-0.36962655,-0.2515453,0.041333925,0.5288816,-0.0016911033,0.5048992,-0.60516685,-0.22212012
World of Guns: Gun Disassembly,-0.005057677,-0.27392828,0.22567865,0.13509186,0.4099185,-0.072097965,0.49664572,-0.16003664,-0.30065534,0.2262046
World of Tanks Blitz,0.18457061,-0.027269816,-0.023310402,-0.020809472,0.2576479,0.18432184,0.2961169,0.086482935,-0.41175568,0.02944295
Yu-Gi-Oh! Duel Links,0.13464896,-0.045605104,-0.011496534,0.011934429,0.28264242,0.13056876,0.29049414,0.072124876,-0.37858787,0.04891474
theHunter Classic,0.16674174,-0.010898678,-0.02343088,-0.09992152,0.28851792,0.1625992,0.26575306,0.13264078,-0.4624804,0.06408191
