names,embedding0,embedding1,embedding2,embedding3,embedding4,embedding5,embedding6,embedding7,embedding8,embedding9
Counter-Strike,0.17483811285846437,0.08233117483811286,0.11748381128584644,0.11840888066604996,0.01942645698427382,0.02312673450508788,0.10638297872340426,0.1757631822386679,0.14153561517113783,0.04070305272895467
Orcs Must Die!,0.17907801418439717,0.22872340425531915,0.008865248226950355,0.20390070921985815,0.02127659574468085,0.0425531914893617,0.1595744680851064,0.005319148936170213,0.028368794326241134,0.12234042553191489
Aokana - Four Rhythms Across the Blue,0.0,0.09782608695652174,0.024456521739130436,0.008152173913043478,0.07336956521739131,0.019021739130434784,0.15760869565217392,0.15217391304347827,0.453804347826087,0.01358695652173913
A Short Hike,0.001584786053882726,0.1838351822503962,0.03169572107765452,0.07923930269413629,0.01584786053882726,0.04120443740095087,0.06656101426307448,0.16164817749603805,0.347068145800317,0.07131537242472266
Terraria,0.1116751269035533,0.10152284263959391,0.01015228426395939,0.2182741116751269,0.02030456852791878,0.08121827411167512,0.005076142131979695,0.233502538071066,0.17766497461928935,0.04060913705583756
Ori and the Will of the Wisps,0.06912442396313365,0.15207373271889402,0.029953917050691243,0.1935483870967742,0.02534562211981567,0.004608294930875576,0.07834101382488479,0.04608294930875576,0.013824884792626729,0.3870967741935484
Gravitas,0.01757469244288225,0.16695957820738136,0.054481546572934976,0.03163444639718805,0.14938488576449913,0.20738137082601055,0.08787346221441125,0.026362038664323375,0.1634446397188049,0.09490333919156414
Kind Words (lo fi chill beats to write to),0.0029282576866764276,0.007320644216691069,0.12298682284040996,0.08052708638360176,0.024890190336749635,0.01171303074670571,0.017569546120058566,0.28111273792093705,0.06881405563689605,0.3821376281112738
Bastion,0.0045385779122541605,0.1573373676248109,0.05143721633888049,0.012102874432677761,0.07110438729198185,0.1059001512859304,0.009077155824508321,0.1815431164901664,0.291981845688351,0.11497730711043873
Before Your Eyes,0.057971014492753624,0.05676328502415459,0.0012077294685990338,0.020531400966183576,0.1570048309178744,0.1280193236714976,0.11594202898550725,0.20531400966183574,0.050724637681159424,0.20652173913043478
Bug Fables: The Everlasting Sapling,0.007281553398058253,0.009708737864077669,0.3446601941747573,0.012135922330097087,0.01699029126213592,0.0412621359223301,0.25970873786407767,0.2621359223300971,0.0024271844660194173,0.043689320388349516
The Henry Stickmin Collection,0.11079136690647481,0.18992805755395684,0.060431654676258995,0.004316546762589928,0.0028776978417266188,0.0057553956834532375,0.18273381294964028,0.27913669064748203,0.1510791366906475,0.012949640287769784
Tales of the Black Forest,0.06015037593984962,0.011278195488721804,0.007518796992481203,0.05639097744360902,0.5375939849624061,0.07142857142857142,0.09774436090225563,0.02631578947368421,0.10150375939849623,0.03007518796992481
Monster Train,0.18893678160919541,0.04310344827586207,0.10201149425287356,0.0617816091954023,0.033764367816091954,0.02442528735632184,0.1896551724137931,0.1235632183908046,0.1400862068965517,0.09267241379310345
People Playground,0.12139917695473251,0.40329218106995884,0.018518518518518517,0.00411522633744856,0.03909465020576132,0.00823045267489712,0.037037037037037035,0.030864197530864196,0.06790123456790123,0.26954732510288065
Sayonara Wild Hearts,0.002785515320334262,0.1392757660167131,0.022284122562674095,0.18662952646239556,0.019498607242339833,0.008356545961002786,0.005571030640668524,0.3370473537604457,0.18384401114206128,0.0947075208913649
Being a DIK - Season 1,0.002398081534772182,0.1223021582733813,0.10551558752997602,0.3237410071942446,0.11031175059952038,0.2302158273381295,0.023980815347721823,0.007194244604316547,0.04316546762589928,0.03117505995203837
